PRODUCT_ID,PRD_DETAIL
PD_00001,../productDetailImage/상세정보_NBOY 에어프라이어 스마트 터치 대용량 저소음 4.7L - 오븐형 에어프라이어.png
PD_00002,../productDetailImage/상세정보_LG 휘센 오브제컬렉션 제습기 _ DQ134MWEC _ 제습기 _ 에어컨_에어케어 _ 제품_소모품 _ LG전자.png
PD_00003,../productDetailImage/상세정보_LG 퓨리케어 오브제컬렉션 얼음정수기 _ WD721RH _ 정수기 _ 주방가전 _ 제품_소모품.png
PD_00004,../productDetailImage/상세정보_HP 오피스 잉크젯 복합기 프로 9010 공기계 무칩 포함 - 잉크젯 복합기.png
PD_00005,../productDetailImage/상세정보_COX 게이트론 LED 게이밍 기계식 유선 텐키리스 키보드 - 유선키보드 _ 쿠팡.jpg
PD_00006,../productDetailImage/상세정보_COX SCARLET 가상 7.1 RGB 노이즈 캔슬링 헤드셋 (블랙) - 헤드셋 _ 쿠팡.jpg
PD_00007,../productDetailImage/상세정보_2025년 최신형 디베아 무선 스틱 청소기 BLDC 최강 흡입력 풀구성 모터 A_S10년 THE NEW - 스틱청소기 _ 쿠팡.jpg
PD_00008,../productDetailImage/상세정보_[국내최초 m자 열선] 몽비오스 국산 다이아몬드 코팅 61cm 대형 사각 프리미엄 잔치팬 - 전기팬 _ 쿠팡.jpg
PD_00009,../productDetailImage/상세정보_[공식인증점]쿠쿠 제로100 슬림 얼음 냉온정수기 CP-AHS100HEW 3년필터증정 - 정수기 _ 쿠팡.jpg
PD_00010,../productDetailImage/상세정보_[LG전자] 코드제로 오브제컬렉션 A9S 올인원타워 무선청소기 [카밍베이지_AU920CWD] - 스틱청소기 _ 쿠팡.jpg
PD_00011,../productDetailImage/상세정보_[Brother] DCP-T730DW 정품 무한잉크 복합기 - 잉크젯 복합기.jpg
PD_00012,../productDetailImage/상세정보_홈플래닛 핸디형 스탠드 스팀다리미 - 다리미_3.jpg
PD_00013,../productDetailImage/상세정보_홈플래닛 핸디형 스탠드 스팀다리미 - 다리미_2.jpg
PD_00014,../productDetailImage/상세정보_홈플래닛 핸디형 스탠드 스팀다리미 - 다리미_1.jpg
PD_00015,../productDetailImage/상세정보_홈플래닛 핸디형 스탠드 스팀다리미 - 다리미.png
PD_00016,../productDetailImage/상세정보_홈플래닛 핸디형 스탠드 스팀다리미 - 다리미.jpg
PD_00017,../productDetailImage/상세정보_한일전기 컴팩트 헤어 드라이기 파워 BLDC 미용실 전문가용 아이보리 - 드라이어.png
PD_00018,../productDetailImage/상세정보_한일전기 에어미스트 스팀팟 올클린 스텐 가열식 가습기 - 가습기_에어워셔 _ 쿠팡.jpg
PD_00019,../productDetailImage/상세정보_한일전기 아기바람 터치스탑 손 대면 바로 멈추는 안전한 BLDC 선풍기 - 스탠드형.jpg
PD_00020,../productDetailImage/상세정보_한성컴퓨터 멤브레인 게이밍 유선 일반형 키보드 - 유선키보드 _ 쿠팡.png
PD_00021,../productDetailImage/상세정보_한성컴퓨터 FHD 1200R 커브드 180Hz 게이밍 모니터 - 게이밍 모니터 _ 쿠팡.jpg
PD_00022,../productDetailImage/상세정보_한경희이지라이프 핸디형 스팀 다리미 - 다리미.jpg
PD_00023,../productDetailImage/상세정보_필립스 접이식 핸디형 스팀다리미 3000시리즈 - 다리미.jpg
PD_00024,../productDetailImage/상세정보_필립스 믹서기 5000 시리즈 초고속 파워블렌더 HR3573_90 새상품 - 초고속블렌더 _ 쿠팡.jpg
PD_00025,../productDetailImage/상세정보_필립스 New 3000 시리즈 컴팩트 케어 헤어 드라이어 BHD321_09 1600W - 드라이어.png
PD_00026,../productDetailImage/상세정보_필립스 1000 시리즈 에어프라이어 6.2L - 오븐형 에어프라이어.jpg
PD_00027,../productDetailImage/상세정보_테팔 초고속 블렌더 퍼펙트믹스+온더고 BL81GDKR _ 한샘몰.jpg
PD_00028,../productDetailImage/상세정보_키친플라워 쿠킨 통주물 와이드 전기그릴 중형 - 전기그릴_팬 _ 쿠팡.png
PD_00029,../productDetailImage/상세정보_키친아트 허브 2IN1 와이드 전기그릴 - 전기그릴_팬 _ 쿠팡.jpg
PD_00030,../productDetailImage/상세정보_키첸 초고속 진공 블렌더 KCBL100 - 초고속블렌더 _ 쿠팡.jpg
PD_00031,../productDetailImage/상세정보_클리비오 광속 헤어드라이기 추천 전문가용 프리미엄 헤어드라이어 - 2color - 드라이어.jpg
PD_00032,../productDetailImage/상세정보_쿠쿠 에어프라이어 5.5L - 오븐형 에어프라이어.jpg
PD_00033,../productDetailImage/상세정보_콘에어 초강력 핸디형 스팀다리미 - 다리미.jpg
PD_00034,../productDetailImage/상세정보_코웨이 아이콘 얼음냉온정수기 오리지널 CHPI-7400N_V2 _ 코웨이 공식 렌탈샵.jpg
PD_00035,../productDetailImage/상세정보_커세어 보이드 RGB 엘리트 무선 7.1채널 컴퓨터 게이밍 헤드셋 - 헤드셋 _ 쿠팡.jpg
PD_00036,../productDetailImage/상세정보_캐논 무한 잉크젯 복합기 G2910 - 잉크젯 복합기.png
PD_00037,../productDetailImage/상세정보_청호나이스 3년 관리서비스 세니타 살균얼음냉온정수기 방문설치.png
PD_00038,../productDetailImage/상세정보_일렉트로룩스 얼티밋홈 900 무선청소기 EFP91825 - 스틱청소기 _ 쿠팡.jpg
PD_00039,../productDetailImage/상세정보_유니맥스 초미풍 발터치 리모콘 선풍기 - 스탠드형.jpg
PD_00040,../productDetailImage/상세정보_위닉스 올바른 가습기 - 가습기_에어워셔 _ 쿠팡.jpg
PD_00041,../productDetailImage/상세정보_위닉스 뽀송 DO2E160-JWK - 에누리 가격비교.jpg
PD_00042,../productDetailImage/상세정보_웨이드 진공 믹서기 블렌더 - 초고속블렌더 _ 쿠팡.png
PD_00043,../productDetailImage/상세정보_오스너 아이핸디 스팀다리미 - 다리미.jpg
PD_00044,../productDetailImage/상세정보_엡손 에코탱크 L3256 무한잉크 복합기 컬러 인쇄 복사 스캔 WIFI 지원 [잉크포함] - 잉크젯 복합기.jpg
PD_00045,../productDetailImage/상세정보_에어메이드 9L 복합식 가습기 - 가습기_에어워셔 _ 쿠팡.jpg
PD_00046,../productDetailImage/상세정보_어드밴스원 FHD 모니터 - 게이밍 모니터.jpg
PD_00047,../productDetailImage/상세정보_앱코 저소음 풀배열 멤브레인 108키 키보드 - 유선키보드 _ 쿠팡.jpg
PD_00048,../productDetailImage/상세정보_앱코 가상 7.1 RGB 노이즈 캔슬링 마이크 게이밍 헤드셋 - 헤드셋 _ 쿠팡.jpg
PD_00049,../productDetailImage/상세정보_아이리버 버티컬 무선 마우스 - 무선마우스 _ 쿠팡.jpg
PD_00050,../productDetailImage/상세정보_아이닉 무선청소기 i50 아이타워 + 헤드브러시 + 침구 브러시 + 필터 2p 세트 i50 itower - 스틱청소기 _ 쿠팡.jpg
PD_00051,../productDetailImage/상세정보_아이닉 대용량 에어프라이어 16L + 7종 조리도구 - 오븐형 에어프라이어.jpg
PD_00052,../productDetailImage/상세정보_신일 제습기 20L 대용량 SDH-S530IF _ 북유럽 감성 디자인 _ 2025년 최신형 - 가정용.png
PD_00053,../productDetailImage/상세정보_신일 유선 프리미엄 BLDC 스탠드형 선풍기 SIF-K12TBG - 스탠드형.jpg
PD_00054,../productDetailImage/상세정보_신일 와이드 전기그릴 특대형 세트 - 전기그릴_팬 _ 쿠팡.jpg
PD_00055,../productDetailImage/상세정보_샤오미 스마트 무선 스탠드 선풍기2 Pro BPLDS03DM - 스탠드형.jpg
PD_00056,../productDetailImage/상세정보_샤오미 미지아 스마트 대용량 가습기 II 4.5L - 가습기_에어워셔 _ 쿠팡.png
PD_00057,../productDetailImage/상세정보_삼성전자 컬러 레이저 프린터 - 컬러레이저 복합기.png
PD_00058,../productDetailImage/상세정보_삼성전자 스탠드형 5엽 선풍기 화이트 SFN-X35GKWH - 스탠드형.jpg
PD_00059,../productDetailImage/상세정보_삼성전자 32인치 모니터 베젤리스 C32R500FH IPS 75Hz LED 컴퓨터 LC32R500FHKXKR - 게이밍 모니터 _ 쿠팡.png
PD_00060,../productDetailImage/상세정보_삼성 비스포크 제트 무선청소기 VS20A957E3W 화이트 - 진공청소기 _ 쿠팡.jpg
PD_00061,../productDetailImage/상세정보_브리츠 게이밍헤드셋 - 헤드셋 _ 쿠팡.jpg
PD_00062,../productDetailImage/상세정보_보아르 에이블 초고속 진공 블렌더 대용량 믹서기 VO-KI012 - 초고속블렌더 _ 쿠팡.jpg
PD_00063,../productDetailImage/상세정보_벤큐 HDR 아이케어 모니터 - 게이밍 모니터 _ 쿠팡.jpg
PD_00064,../productDetailImage/상세정보_맥스틸 게이밍 유선마우스 TRON G10PRO Reborn Matt - 유선마우스 _ 쿠팡.jpg
PD_00065,../productDetailImage/상세정보_매직쉐프 대형 전기 와이드그릴 풀세트 - 전기그릴_팬.jpg
PD_00066,../productDetailImage/상세정보_리오나인 FHD 240Hz 게이밍 모니터 - 게이밍 모니터 _ 쿠팡.jpg
PD_00067,../productDetailImage/상세정보_리빙웰 스텐 에어프라이어 대용량 16리터 AF16 - 오븐형 에어프라이어.jpg
PD_00068,../productDetailImage/상세정보_롯데알미늄 2023 NEW 에코제트 공기정화 제습기 WIFI - 가정용 _ 쿠팡.jpg
PD_00069,../productDetailImage/상세정보_로지텍 코리아 무선 마우스 MX ANYWHERE 3S MR0083 - 무선마우스 _ 쿠팡.jpg
PD_00070,../productDetailImage/상세정보_로지텍 USB 유선 일반형 키보드 - 유선키보드 _ 쿠팡.jpg
PD_00071,../productDetailImage/상세정보_로지텍 MX MASTER 3S 무선 마우스 + 마우스피트 세트 - 무선마우스 _ 쿠팡.jpg
PD_00072,../productDetailImage/상세정보_레이저 휴먼스케일 프로 클릭 무선 마우스 - 무선마우스 _ 쿠팡.jpg
PD_00073,../productDetailImage/상세정보_디베아 퓨어젯 헤어 드라이어 PUREJET 1600W - 드라이어.jpg
PD_00074,../productDetailImage/상세정보_듀플렉스 초음파 가습기 - 가습기_에어워셔 _ 쿠팡.jpg
PD_00075,../productDetailImage/상세정보_데오아 헤어 드라이기 BLDC 고속건조 미용실 음이온 휴대용 저소음 드라이어 KR-F08 - 드라이어.jpg
PD_00076,../productDetailImage/상세정보_녹스 커스텀키보드 기계식 LED 광축 방수 게이밍 키보드추천 PBT 유선키보드 - 유선키보드.png
PD_00077,../productDetailImage/상세정보_녹스 블랙홀 게이밍 헤드셋 7.1채널 노이즈 캔슬링 - 헤드셋 _ 쿠팡.jpg
PD_00078,../productDetailImage/상세정보_TCL 대용량 스마트 제습기 33.6L - 가정용 _ 쿠팡.jpg
PD_00079,../productDetailImage/상세정보_SK매직 원코크 얼음물 정수기 WPU-IAC414 방문설치 - 정수기 _ 쿠팡.jpg

